Timestamp	Lambda3	Lambda4	Lambda5	Lambda6	Lambda7	Lambda9	Lambda10	Lambda11	Lambda12
17/1/2023 16:24:56.78555	"152,302,820"	"152,674,585"	"153,020,750"	"153,402,725"	"153,840,931"	"154,644,146"	"155,017,678"	"155,420,797"	"155,803,652"
17/1/2023 16:24:57.28555	"152,302,709"	"152,675,438"	"153,022,878"	"153,406,313"	"153,845,556"	"154,652,053"	"155,027,228"	"155,429,594"	"155,808,610"
17/1/2023 16:24:57.78555	"152,298,604"	"152,690,324"	"153,052,085"	"153,434,234"	"153,863,598"	"154,648,898"	"155,014,290"	"155,408,296"	"155,785,433"
17/1/2023 16:24:58.28555	"152,332,079"	"152,715,781"	"153,071,518"	"153,459,466"	"153,900,061"	"154,693,184"	"155,051,584"	"155,438,658"	"155,807,119"
17/1/2023 16:24:58.78555	"152,356,613"	"152,748,161"	"153,108,283"	"153,502,217"	"153,945,945"	"154,744,655"	"155,111,026"	"155,438,658"	"155,863,542"
17/1/2023 16:24:59.28555	"152,372,449"	"152,757,652"	"153,118,040"	"153,508,985"	"153,950,521"	"154,745,538"	"155,114,009"	"155,438,658"	"155,870,500"
17/1/2023 16:24:59.78555	"152,391,399"	"152,775,554"	"153,132,738"	"153,521,934"	"153,961,402"	"154,755,840"	"155,121,186"	"155,438,658"	"155,873,706"
17/1/2023 16:25:00.28555	"152,361,153"	"152,747,309"	"153,106,755"	"153,496,773"	"153,936,668"	"154,728,510"	"155,090,982"	"155,473,135"	"155,836,589"
17/1/2023 16:25:00.78555	"152,359,570"	"152,745,306"	"153,103,585"	"153,492,859"	"153,931,669"	"154,725,292"	"155,090,022"	"155,475,476"	"155,840,746"
17/1/2023 16:25:01.28555	"152,359,449"	"152,745,035"	"153,103,285"	"153,492,859"	"153,930,801"	"154,723,116"	"155,086,883"	"155,471,630"	"155,837,401"
17/1/2023 16:25:01.78555	"152,359,055"	"152,744,775"	"153,103,185"	"153,493,362"	"153,931,216"	"154,723,727"	"155,087,451"	"155,472,651"	"155,837,608"
17/1/2023 16:25:02.28555	"152,358,796"	"152,744,285"	"153,102,577"	"153,491,928"	"153,930,250"	"154,723,475"	"155,087,378"	"155,472,928"	"155,838,152"
17/1/2023 16:25:02.78555	"152,358,647"	"152,744,171"	"153,102,316"	"153,491,701"	"153,930,260"	"154,723,015"	"155,086,775"	"155,472,454"	"155,837,669"
17/1/2023 16:25:03.28555	"152,358,439"	"152,744,006"	"153,102,294"	"153,491,619"	"153,930,390"	"154,722,938"	"155,087,017"	"155,472,188"	"155,837,637"
17/1/2023 16:25:03.78555	"152,358,229"	"152,743,743"	"153,102,011"	"153,491,315"	"153,929,959"	"154,722,748"	"155,086,871"	"155,472,318"	"155,837,629"
17/1/2023 16:25:04.28555	"152,357,993"	"152,743,670"	"153,101,826"	"153,491,155"	"153,930,217"	"154,722,641"	"155,086,769"	"155,472,066"	"155,837,453"
17/1/2023 16:25:04.78555	"152,358,007"	"152,743,295"	"153,101,668"	"153,490,922"	"153,929,805"	"154,722,520"	"155,086,547"	"155,472,109"	"155,837,444"
17/1/2023 16:25:05.28555	"152,357,754"	"152,743,308"	"153,101,673"	"153,490,865"	"153,929,639"	"154,722,440"	"155,086,547"	"155,471,958"	"155,837,347"
17/1/2023 16:25:05.78555	"152,357,681"	"152,743,207"	"153,101,439"	"153,490,765"	"153,929,749"	"154,722,228"	"155,086,310"	"155,471,801"	"155,837,319"
17/1/2023 16:25:06.28555	"152,357,683"	"152,743,273"	"153,101,312"	"153,490,770"	"153,929,389"	"154,722,151"	"155,086,342"	"155,471,653"	"155,837,286"
